,Sex,Age,Height,Weight,Year,Season,Medal,Team,City,Sport,BMI,Lag
41,M,28.0,175.0,64.0,1948,Summer,Bronze,Finland,London,Gymnastics,20.9,7.0
42,M,28.0,175.0,64.0,1948,Summer,Gold,Finland,London,Gymnastics,20.9,5.0
44,M,28.0,175.0,64.0,1948,Summer,Gold,Finland,London,Gymnastics,20.9,9.0
48,M,28.0,175.0,64.0,1948,Summer,Gold,Finland,London,Gymnastics,20.9,5.0
50,M,32.0,175.0,64.0,1952,Summer,Bronze,Finland,Helsinki,Gymnastics,20.9,7.0
105,F,23.0,182.0,64.0,1996,Summer,Bronze,Norway,Atlanta,Football,19.32,7.0
163,F,22.0,179.0,80.0,2008,Summer,Silver,Russia,Beijing,Athletics,24.97,2.0
178,M,22.0,185.0,82.0,2000,Summer,Gold,Cameroon,Sydney,Football,23.96,7.0
191,M,26.0,182.0,67.0,1984,Summer,Bronze,Spain,Los Angeles,Athletics,20.23,9.0
476,F,21.0,173.0,59.0,1984,Summer,Bronze,Canada,Los Angeles,Swimming,19.71,1.0
609,M,23.0,202.0,104.0,2000,Summer,Gold,United States,Sydney,Basketball,25.49,2.0
620,M,26.0,190.0,125.0,1992,Summer,Gold,Unified Team,Barcelona,Athletics,34.63,9.0
655,M,21.0,160.0,50.0,1992,Summer,Bronze,Ethiopia,Barcelona,Athletics,19.53,1.0
677,F,19.0,160.0,48.0,1972,Summer,Silver,East Germany,Munich,Gymnastics,18.75,9.0
720,M,22.0,166.0,58.0,2000,Summer,Gold,Ethiopia,Sydney,Athletics,21.05,6.0
727,M,19.0,181.0,78.0,1912,Summer,Bronze,Sweden,Stockholm,Athletics,23.81,8.0
728,M,19.0,181.0,78.0,1912,Summer,Silver,Sweden,Stockholm,Athletics,23.81,9.0
747,F,25.0,159.0,40.0,2008,Summer,Silver,Turkey,Beijing,Athletics,15.82,5.0
787,M,19.0,182.0,68.0,1932,Summer,Gold,United States,Los Angeles,Athletics,20.53,0.0
789,M,19.0,161.0,62.0,2012,Summer,Bronze,Russia,London,Gymnastics,23.92,4.0
790,M,19.0,161.0,62.0,2012,Summer,Silver,Russia,London,Gymnastics,23.92,1.0
794,M,24.0,161.0,62.0,2016,Summer,Silver,Russia,Rio de Janeiro,Gymnastics,23.92,1.0
796,M,24.0,161.0,62.0,2016,Summer,Silver,Russia,Rio de Janeiro,Gymnastics,23.92,9.0
797,M,24.0,161.0,62.0,2016,Summer,Bronze,Russia,Rio de Janeiro,Gymnastics,23.92,7.0
803,M,22.0,190.0,78.0,1972,Summer,Silver,Soviet Union,Munich,Swimming,21.61,5.0
804,M,22.0,190.0,78.0,1972,Summer,Bronze,Soviet Union,Munich,Swimming,21.61,3.0
814,M,30.0,197.0,92.0,2016,Summer,Bronze,Australia,Rio de Janeiro,Swimming,23.71,1.0
892,M,21.0,175.0,64.0,1980,Summer,Bronze,Great Britain,Moskva,Swimming,20.9,0.0
915,M,24.0,183.0,75.0,1924,Summer,Gold,Great Britain,Paris,Athletics,22.4,6.0
917,M,24.0,183.0,75.0,1924,Summer,Silver,Great Britain,Paris,Athletics,22.4,2.0
929,M,22.0,172.0,61.0,1920,Summer,Bronze,Sweden,Antwerpen,Athletics,20.62,7.0
1029,M,23.0,198.0,93.0,2016,Summer,Bronze,Spain,Rio de Janeiro,Basketball,23.72,1.0
1035,F,28.0,188.0,77.0,2008,Summer,Bronze,Russia,Beijing,Basketball,21.79,3.0
1089,F,26.0,148.0,46.0,1964,Summer,Bronze,Japan,Tokyo,Gymnastics,21.0,7.0
1121,F,16.0,150.0,40.0,2008,Summer,Bronze,Romania,Beijing,Gymnastics,17.78,2.0
1191,M,18.0,181.0,73.0,1992,Summer,Bronze,Ghana,Barcelona,Football,22.28,10.0
1276,M,20.0,168.0,72.0,2008,Summer,Gold,Argentina,Beijing,Football,25.51,0.0
1388,M,22.0,179.0,78.0,1992,Summer,Silver,Poland,Barcelona,Football,24.34,8.0
1450,M,22.0,188.0,78.0,1912,Summer,Silver,United States,Stockholm,Athletics,22.07,3.0
1451,M,22.0,188.0,78.0,1912,Summer,Bronze,United States,Stockholm,Athletics,22.07,3.0
1511,M,27.0,188.0,78.0,1912,Summer,Gold,United States,Stockholm,Athletics,22.07,8.0
1512,M,27.0,188.0,78.0,1912,Summer,Silver,United States,Stockholm,Athletics,22.07,8.0
1527,F,23.0,193.0,120.0,2008,Summer,Gold,New Zealand,Beijing,Athletics,32.22,8.0
1528,F,27.0,193.0,120.0,2012,Summer,Gold,New Zealand,London,Athletics,32.22,1.0
1529,F,31.0,193.0,120.0,2016,Summer,Silver,New Zealand,Rio de Janeiro,Athletics,32.22,2.0
